No,HID,Hotel-Name,UPDATE URL 15 JAN,SLUG,Supplier-or-Direct,Country,SEARCH
435,652612,Thai-Garden-Resort,www.gother.com/th-th/hotels/thailand/bangkok/bueng-kum/thai-garden-resort,thailand/chonburi/north-pattaya/thai-garden-resort,DIRECT,thailand,37
1462,7005,smile-hotel-osaka-yotsuhashi,www.gother.com/th-th/hotels/japan/osaka/osaka/smile-hotel-osaka-yotsuhashi,japan/osaka/osaka/smile-hotel-osaka-yotsuhashi,Supplier,japan,37
1467,755277,four-points-flex-by-sheraton-osaka-shinsaibashi,www.gother.com/th-th/hotels/japan/osaka/osaka/four-points-flex-by-sheraton-osaka-shinsaibashi,japan/osaka/osaka/four-points-flex-by-sheraton-osaka-shinsaibashi,Supplier,japan,37
1468,818400,apa-hotelasakusa-ekimaenon-smoking-rooms,www.gother.com/th-th/hotels/japan/tokyo/taito/apa-hotelasakusa-ekimaenon-smoking-rooms,japan/tokyo/taito/apa-hotelasakusa-ekimaenon-smoking-rooms,Supplier,japan,37
1474,777940,do-c-shibuya-ebisu,www.gother.com/th-th/hotels/japan/tokyo/tama/do-c-shibuya-ebisu,japan/tokyo/tama/do-c-shibuya-ebisu,Supplier,japan,37
1479,784271,apa-hotel-resort-nishishinjuku-gochome-eki-tower,www.gother.com/th-th/hotels/japan/tokyo/shibuya/apa-hotel-resort-nishishinjuku-gochome-eki-tower,japan/tokyo/shibuya/apa-hotel-resort-nishishinjuku-gochome-eki-tower,Supplier,japan,37
1481,366437,remm-hibiya,www.gother.com/th-th/hotels/japan/tokyo/chiyoda/remm-hibiya,japan/tokyo/chiyoda/remm-hibiya,Supplier,japan,37
1488,849381,tokyo-ueno-touganeya-hotel,www.gother.com/th-th/hotels/japan/tokyo/taito/tokyo-ueno-touganeya-hotel,japan/tokyo/taito/tokyo-ueno-touganeya-hotel,Supplier,japan,37
1851,271351,jinjiang-inn-quanzhou-wenling-north-road-zhonglou,www.gother.com/th-th/hotels/china/fujian/quanzhou/jinjiang-inn-quanzhou-wenling-north-road-zhonglou,china/guangdong/guangzhou/jinjiang-inn-quanzhou-wenling-north-road-zhonglou,Supplier,china,37
1858,9387,grand-mercure-xian-on-renmin-square,www.gother.com/th-th/hotels/china/shaanxi/xian/grand-mercure-xian-on-renmin-square,china/shaanxi/xian/grand-mercure-xian-on-renmin-square,Supplier,china,37
